Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8935212362139,Thép Đã Tôi Thế Đấy (Tái Bản 2023),508,139000,Nikolai AOstrovsky,Nikolai AOstrovsky,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/thep-da-toi-the-day-tai-ban-2023.html,516.0
9786044806075,The Garden Of Youth - Vườn Thanh Xuân,505,169000,Đào Hoàng Diệu,Đào Hoàng Diệu,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/the-garden-of-youth-vuon-thanh-xuan.html,274.0
8935250715942,"[Light Novel] Văn Hào Lưu Lạc - Tập 7 - Dazai, Chuya, Tuổi 15 - Bản Đặc Biệt - Tặng Kèm Card",42,85000,"Asagiri Kafka, Harukawa Sango",Ngân Hà,Tiếng Việt,2025-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/light-novel-van-hao-luu-lac-tap-7-dazai-chuya-tuoi-15-ban-dac-biet-tang-kem-card.html,204.0
8935325026447,Món Hàng Hiệu Mang Tên “Tôi”,49,115000,Gari,Gari,Tiếng Việt,2025-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/mon-hang-hieu-mang-ten-toi.html,240.0
9786044151243,Lớp Có Tang Sự Không Cần Điểm Danh,417,265000,Doo Vandenis,Doo Vandenis,Tiếng Việt,2024-01-01,1,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/lop-co-tang-su-khong-can-diem-danh.html,488.0
8935325000379,Thương,1700,75000,Nhiều Tác Giả,Nhiều Tác Giả,Tiếng Việt,2021-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/thuong-356032.html,168.0
8936228540382,Sách Tô Màu - Lạc Vào Thế Giới Chibi,316,88000,H!koro Studio,H!koro Studio,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/sach-to-mau-lac-vao-the-gioi-chibi.html,64.0
mvtdnycdecmntn4db,Ma Vương Tôi Đây Nên Yêu Cô Dâu Elf Của Mình Như Thế Nào? - Tập 4 - Bản Đặc Biệt - Tặng Kèm Bookmark + Postcard + Card Trong,23,129000,"Fuminori Teshima, COMTA",Quỳnh Mai,Tiếng Việt,2025-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ma-vuong-toi-day-nen-yeu-co-dau-elf-cua-minh-nhu-the-nao-tap-4-ban-dac-biet-tang-kem-bookmark-postcard-card-trong.html,256.0
8935325011559,Đám Trẻ Ở Đại Dương Đen,1700,99000,Châu Sa Đáy Mắt,Châu Sa Đáy Mắt,Tiếng Việt,2023-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/dam-tre-o-dai-duong-den.html,280.0
8935244893656,[Light Novel] Dược Sư Tự Sự - Tập 3 - Tặng Kèm Bookmark,390,125000,"Natsu Hyuuga, Touko Shino",Hoàng Ly,Tiếng Việt,2022-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/light-novel-duoc-su-tu-su-tap-3-tang-kem-bookmark.html,504.0
